queue_id,source_id,work_id,title,doi,priority_tier,production_lane,queue_priority,priority_reason,topic_relevance_score,evidence_likelihood_score,citation_count,preferred_format,candidate_url,url_source,access_type,license,download_status,http_status,content_type,resolved_url,attempt_count,max_attempts,last_attempt_at,local_path,file_size,sha256,failure_reason,rule_version,created_at,updated_at,metadata_enrichment_status,fulltext_status,acquisition_status,publisher_url,manual_access_url
FQ_1F5F5AA0163D66656F20,P003_Pan_2025_FeMo_MgO_Methane_CNT,P003_Pan_2025_FeMo_MgO_Methane_CNT,Tunable synthesis of carbon nanotubes via methane catalytic pyrolysis by adjusting Mo incorporation in Fe/MgO,10.1039/d4cp04231j,A,A,1,lane_A:existing_local_pdf,10.0,5.0,3,local_pdf,,metadata.pdf_path,local_existing,,local_existing,,application/pdf,,0,3,,data/raw/papers/d4cp04231j.pdf,2147798,064eb3de44b04aaea9de96d60dce730c545b28150888824c4407c32de384bb62,,fulltext_queue_v3_legal_fallbacks,2026-07-16T01:14:19Z,2026-07-16T17:39:38Z,not_required_frozen_screening,available,local_existing,https://doi.org/10.1039/d4cp04231j,
FQ_D962DE6861C8C5A67B95,P005_Saconsint_2023_NiMo_Carbide_Biogas_CNT,P005_Saconsint_2023_NiMo_Carbide_Biogas_CNT,Development of Ni-Mo carbide catalyst for production of syngas and CNTs by dry reforming of biogas,10.1038/s41598-023-38436-8,A,A,2,lane_A:existing_local_pdf,10.0,4.0,22,local_pdf,,metadata.pdf_path,local_existing,,local_existing,,application/pdf,,0,3,,data/raw/papers/s41598-023-38436-8.pdf,4788361,24784de4ec30ba595906818cf304c7c9f9c0cf2412bc6365a7c280738d7ddc92,,fulltext_queue_v3_legal_fallbacks,2026-07-16T01:14:19Z,2026-07-16T17:39:38Z,not_required_frozen_screening,available,local_existing,https://doi.org/10.1038/s41598-023-38436-8,
FQ_8F8D3E960587985946EA,P006_Saetang_2024_NiMo_MgO_Biogas_CNT,P006_Saetang_2024_NiMo_MgO_Biogas_CNT,Simultaneous production of syngas and carbon nanotubes from CO2/CH4 mixture over high-performance NiMo/MgO catalyst,10.1038/s41598-024-66938-6,A,A,3,lane_A:existing_local_pdf,10.0,4.0,19,local_pdf,,metadata.pdf_path,local_existing,,local_existing,,application/pdf,,0,3,,data/raw/papers/s41598-024-66938-6.pdf,7617757,2ded82b09377b14fc6a464fd35b4eaa666d98ca2610ac9a0fbd7229e6e2742f2,,fulltext_queue_v3_legal_fallbacks,2026-07-16T01:14:19Z,2026-07-16T17:39:38Z,not_required_frozen_screening,available,local_existing,https://doi.org/10.1038/s41598-024-66938-6,
FQ_ED1BBA97D9D81797F857,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,Synthesis of MWCNTs by chemical vapor deposition of methane using FeMo/MgO catalyst: role of hydrogen and kinetic study,10.1038/s41598-023-48456-z,A,A,4,lane_A:existing_local_pdf,10.0,4.0,17,local_pdf,,metadata.pdf_path,local_existing,,local_existing,,application/pdf,,0,3,,data/raw/papers/s41598-023-48456-z.pdf,4949601,4eb86a0991b916e259a6e7e7b00d7575e61274c5a2a6b40da91fe25f859d34fe,,fulltext_queue_v3_legal_fallbacks,2026-07-16T01:14:19Z,2026-07-16T17:39:38Z,not_required_frozen_screening,available,local_existing,https://doi.org/10.1038/s41598-023-48456-z,
FQ_D1B3AF9717D46393321D,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,Development of high-performance nickel-based catalysts for production of hydrogen and carbon nanotubes from biogas,10.1038/s41598-022-19638-y,A,A,5,lane_A:existing_local_pdf,7.5,4.0,28,local_pdf,,metadata.pdf_path,local_existing,,local_existing,,application/pdf,,0,3,,data/raw/papers/s41598-022-19638-y.pdf,4255927,b8c91dc2e5d2145553bd05cb14326cd493a2fad57daa86110864f4c2c529943c,,fulltext_queue_v3_legal_fallbacks,2026-07-16T01:14:19Z,2026-07-16T17:39:38Z,not_required_frozen_screening,available,local_existing,https://doi.org/10.1038/s41598-022-19638-y,
FQ_DE85AA15B5AE82CC1636,LIT_2C6CFB8A985F3106,LIT_2C6CFB8A985F3106,"Carbon nanotube synthesis via the catalytic chemical vapor deposition of methane in the presence of iron, molybdenum, and iron–molybdenum alloy thin layer catalysts",10.1016/j.rinp.2017.10.001,A,A,6,lane_A:tier_A_oa_pdf,10.0,5.0,80,pdf,https://doi.org/10.1016/j.rinp.2017.10.001,semantic_scholar,legal_oa,,paywalled,202,text/html; charset=UTF-8,https://www.semanticscholar.org/paper/f763eb3147a4eff8fde0f1e750a62541b9e0a2ff,1,3,2026-07-16T17:39:38Z,,0,,no_legal_fulltext_found,fulltext_queue_v3_legal_fallbacks,2026-07-16T01:14:19Z,2026-07-16T17:39:42Z,not_required_frozen_screening,unavailable_legally,manual_access_required,https://doi.org/10.1016/j.rinp.2017.10.001,https://doi.org/10.1016/j.rinp.2017.10.001
FQ_84FD704504A6C3DC54B0,LIT_3D8F9EFA937173D0,LIT_3D8F9EFA937173D0,Decomposition of methane over alumina supported Fe and Ni–Fe bimetallic catalyst: Effect of preparation procedure and calcination temperature,10.1016/j.jscs.2016.05.001,A,A,7,lane_A:tier_A_oa_pdf,10.0,5.0,72,pdf,https://doi.org/10.1016/j.jscs.2016.05.001,semantic_scholar,legal_oa,,validated,200,application/pdf,https://ris.utwente.nl/ws/files/31939082/decomposition.pdf,3,3,2026-07-16T02:40:20Z,data/raw/fulltext/pdf/LIT_3D8F9EFA937173D0_980d716919cc.pdf,1833915,980d716919cc110c8dcdd7bba8df4469b41917949e7eaa38e20fee2b0b98ba54,,fulltext_queue_v3_legal_fallbacks,2026-07-16T01:14:19Z,2026-07-16T17:39:38Z,not_required_frozen_screening,available,validated,https://doi.org/10.1016/j.jscs.2016.05.001,
FQ_F8C2DE4DF7F605466BA1,LIT_57A5BA30642FEA0F,LIT_57A5BA30642FEA0F,Potential of Acid-Activated Bentonite and SO3H-Functionalized MWCNTs for Biodiesel Production From Residual Olive Oil Under Biorefinery Scheme,10.3389/fenrg.2018.00137,A,A,8,lane_A:tier_A_oa_pdf,10.0,5.0,57,pdf,https://www.frontiersin.org/articles/10.3389/fenrg.2018.00137/pdf,openalex,legal_oa,,validated,200,application/pdf,https://www.frontiersin.org/journals/energy-research/articles/10.3389/fenrg.2018.00137/pdf,1,3,2026-07-16T02:06:54Z,data/raw/fulltext/pdf/LIT_57A5BA30642FEA0F_952c6da22d57.pdf,1396718,952c6da22d578ae0c3851d8cbc55baa14abb64ee54aeefd6beb0a304518b1df0,,fulltext_queue_v3_legal_fallbacks,2026-07-16T01:14:19Z,2026-07-16T17:39:38Z,not_required_frozen_screening,available,validated,https://doi.org/10.3389/fenrg.2018.00137,
FQ_441A44598544707280BC,LIT_2CF0B62FD0879B1A,LIT_2CF0B62FD0879B1A,Synthesizing carbon nanotubes and carbon nanofibers over supported-nickel oxide catalysts via catalytic decomposition of methane,10.1016/j.diamond.2007.02.011,A,A,9,lane_A:tier_A_oa_pdf,10.0,5.0,54,pdf,https://hull-repository.worktribe.com/output/549988,semantic_scholar,legal_oa,,paywalled,200,text/html;charset=UTF-8,https://linkinghub.elsevier.com/retrieve/pii/S0925963507001781,1,3,2026-07-16T17:39:42Z,,0,,no_legal_fulltext_found,fulltext_queue_v3_legal_fallbacks,2026-07-16T01:14:19Z,2026-07-16T17:39:45Z,not_required_frozen_screening,unavailable_legally,manual_access_required,https://doi.org/10.1016/j.diamond.2007.02.011,https://doi.org/10.1016/j.diamond.2007.02.011
FQ_7FD368FFC02B2E7AFBC7,LIT_1C53CDD04C7F51D9,LIT_1C53CDD04C7F51D9,Effect of process conditions on the synthesis of carbon nanotubes by catalytic decomposition of methane,10.1016/j.cpart.2007.03.004,A,A,10,lane_A:tier_A_oa_pdf,10.0,5.0,33,pdf,http://ir.ipe.ac.cn/handle/122111/3506,semantic_scholar,legal_oa,,paywalled,200,text/html;charset=UTF-8,https://linkinghub.elsevier.com/retrieve/pii/S1672251507000322,1,3,2026-07-16T17:39:45Z,,0,,no_legal_fulltext_found,fulltext_queue_v3_legal_fallbacks,2026-07-16T01:14:19Z,2026-07-16T17:40:04Z,not_required_frozen_screening,unavailable_legally,manual_access_required,https://doi.org/10.1016/j.cpart.2007.03.004,https://doi.org/10.1016/j.cpart.2007.03.004
