source_id,doi,title,availability_status,primary_fulltext_type,primary_local_path,successful_artifact_count,failed_attempt_count,failure_reasons,last_checked_at
P003_Pan_2025_FeMo_MgO_Methane_CNT,10.1039/d4cp04231j,Tunable synthesis of carbon nanotubes via methane catalytic pyrolysis by adjusting Mo incorporation in Fe/MgO,available,local_pdf,data/raw/papers/d4cp04231j.pdf,1,0,,2026-07-16T01:17:04Z
P005_Saconsint_2023_NiMo_Carbide_Biogas_CNT,10.1038/s41598-023-38436-8,Development of Ni-Mo carbide catalyst for production of syngas and CNTs by dry reforming of biogas,available,local_pdf,data/raw/papers/s41598-023-38436-8.pdf,1,0,,2026-07-16T01:17:04Z
P006_Saetang_2024_NiMo_MgO_Biogas_CNT,10.1038/s41598-024-66938-6,Simultaneous production of syngas and carbon nanotubes from CO2/CH4 mixture over high-performance NiMo/MgO catalyst,available,local_pdf,data/raw/papers/s41598-024-66938-6.pdf,1,0,,2026-07-16T01:17:04Z
P002_Chotmunkhongsin_2023_FeMo_MgO_H2_MWCNT,10.1038/s41598-023-48456-z,Synthesis of MWCNTs by chemical vapor deposition of methane using FeMo/MgO catalyst: role of hydrogen and kinetic study,available,local_pdf,data/raw/papers/s41598-023-48456-z.pdf,1,0,,2026-07-16T01:17:04Z
P004_Saconsint_2022_Multimetal_MgO_Biogas_CNT,10.1038/s41598-022-19638-y,Development of high-performance nickel-based catalysts for production of hydrogen and carbon nanotubes from biogas,available,local_pdf,data/raw/papers/s41598-022-19638-y.pdf,1,0,,2026-07-16T01:17:04Z
P001_Dubey_2012_FeMo_MgO_tMWCNT,10.5714/cl.2012.13.2.099,Synthesis of thin-multiwalled carbon nanotubes by Fe-Mo/MgO catalyst using sol-gel method,available,local_pdf,data/raw/papers/HGTSB6_2012_v13n2_99.pdf,1,0,,2026-07-16T02:06:49Z
LIT_2C6CFB8A985F3106,10.1016/j.rinp.2017.10.001,"Carbon nanotube synthesis via the catalytic chemical vapor deposition of methane in the presence of iron, molybdenum, and iron–molybdenum alloy thin layer catalysts",unavailable,,,0,2,html_landing_page_not_fulltext; http_403,2026-07-16T02:25:04Z
LIT_3D8F9EFA937173D0,10.1016/j.jscs.2016.05.001,Decomposition of methane over alumina supported Fe and Ni–Fe bimetallic catalyst: Effect of preparation procedure and calcination temperature,available,pdf,data/raw/fulltext/pdf/LIT_3D8F9EFA937173D0_980d716919cc.pdf,1,2,html_landing_page_not_fulltext; http_403,2026-07-16T02:40:25Z
LIT_57A5BA30642FEA0F,10.3389/fenrg.2018.00137,Potential of Acid-Activated Bentonite and SO3H-Functionalized MWCNTs for Biodiesel Production From Residual Olive Oil Under Biorefinery Scheme,available,pdf,data/raw/fulltext/pdf/LIT_57A5BA30642FEA0F_952c6da22d57.pdf,1,0,,2026-07-16T02:06:59Z
LIT_2CF0B62FD0879B1A,10.1016/j.diamond.2007.02.011,Synthesizing carbon nanotubes and carbon nanofibers over supported-nickel oxide catalysts via catalytic decomposition of methane,unavailable,,,0,2,html_landing_page_not_fulltext; http_403,2026-07-16T02:25:09Z
